product_codes,color
150247C,000000
564143C,000000
167592C,000000
167593C,000000
167830C,000000
167911C,000000
167915C,000000
167708C,000000
167709C,000000
563456C,000000
564982C,000000
166324C,000000
165907C,000000
166804C,000000
567685C,000000
168293C,000000
168279C,000000
167819C,000000
167804C,000000
537081C,000000
167596C,0000FF
167642C,0000FF
166709C,0000FF
167629C,0000FF
167937C,0000FF
168133C,0000FF
167706C,0000FF
167701C,0000FF
567992C,0000FF
567991C,0000FF
167058C,0000FF
166809C,0000FF
166813C,0000FF
567105C,0000FF
166745C,0000FF
166741C,0000FF
166849C,0000FF
166827C,0000FF
567723C,009900
167826C,009900
167702C,009900
167910C,009900
167854C,009900
167622C,009900
167647C,009900
167644C,009900
167061C,009900
167971C,009900
167068C,009900
166853C,009900
166726C,009900
166824C,009900
150249C,131936
167812C,131936
167072C,131936
164950C,131936
164945C,131936
M9697C,131936
M9622C,131936
167707C,6600CC
167862C,6600CC
166744C,6600CC
163407C,996633
166740C,996633
167621C,999999
567157C,999999
166854C,999999
164951C,999999
164946C,999999
166838C,A39264
167645C,F0E4D2
167912C,F0E4D2
167866C,F0E4D2
167821C,F0E4D2
167631C,F0E4D2
567847C,F0E4D2
567865C,F0E4D2
167811C,F0E4D2
167646C,F0E4D2
167750C,F0E4D2
167749C,F0E4D2
167324C,F0E4D2
567311C,F0E4D2
567155C,F0E4D2
166861C,F0E4D2
167067C,F0E4D2
166725C,F0E4D2
165742C,F0E4D2
162062C,F0E4D2
162053C,F0E4D2
167970C,FF0000
167069C,FF0000
167043C,FF0000
166747C,FF0000
167967C,FF0000
M9696C,FF0000
164949C,FF0000
164944C,FF0000
M9621C,FF0000
167853C,FF6600
167235C,FF6600
167810C,FF6600
167703C,FF6600
167700C,FF6600
567855C,FF6600
167643C,FF6600
162351C,FF6600
167677C,FFB6C1
167827C,FFB6C1
166708C,FFB6C1
167633C,FFB6C1
167322C,FFB6C1
567101C,FFB6C1
566766C,FFB6C1
167071C,FFB6C1
167347C,FFB6C1
167345C,FFB6C1
164952C,FFB6C1
164947C,FFB6C1
167297C,FFCC00
162054C,FFCC00
162063C,FFCC00
166812C,FFCC00
166851C,FFCC00
166825C,FFCC00
167678C,FFFFFF
564981C,FFFFFF
567686C,FFFFFF
167673C,FFFFFF
167669C,FFFFFF
167935C,FFFFFF
167817C,FFFFFF
167936C,FFFFFF
167805C,FFFFFF
537084C,FFFFFF
167239C,FFFFFF
164301C,FFFFFF
563457C,FFFFFF
560251C,FFFFFF
167963C,FFFFFF
164057C,FFFFFF
566751C,FFFFFF
166810C,FFFFFF
167292C,FFFFFF
167323C,FFFFFF
567100C,FFFFFF
166712C,FFFFFF
167346C,FFFFFF
167326C,FFFFFF
166826C,FFFFFF
167329C,FFFFFF
565062C,FFFFFF
164225C,FFFFFF
161577C,FFFFFF
162065C,FFFFFF
162056C,FFFFFF
M7652C,FFFFFF
M7650C,FFFFFF
10020856-A02,000000
10019604-A02,000000
10018841-A04,000000
10018940-A01,000000
10017759-A03,000000
10019896-A01,000000
10018568-A01,000000
10019895-A01,000000
10020394-A02,000000
10018896-A01,000000
10018968-A01,000000
10018985-A01,000000
10018468-A01,000000
10018973-A01,000000
10018446-A01,000000
10017263-A01,000000
10017262-A01,000000
10017261-A01,000000
10008476-A01,000000
10017015-A05,000000
10007887-A01,000000
10008505-A01,000000
10007784-A01,000000
10008276-A01,000000
10018448-A01,000000
10018451-A01,000000
10017895-A03,000000
10008476-A19,0000FF
10019896-A03,0000FF
10017263-A09,0000FF
10018972-A01,0000FF
10018975-A01,0000FF
10019604-A03,009900
10018969-A01,131936
10018334-A01,996633
10007887-A03,999999
10018446-A03,A39264
10018334-A02,A39264
10018901-A01,F0E4D2
10018446-A02,F0E4D2
10000998-A22,F0E4D2
10001016-A22,F0E4D2
10018457-A02,F0E4D2
10018853-A02,FFFFFF
10020856-A01,FFFFFF
10020849-A01,FFFFFF
10019604-A01,FFFFFF
10018841-A03,FFFFFF
10018940-A07,FFFFFF
10017759-A04,FFFFFF
10019896-A02,FFFFFF
10018568-A02,FFFFFF
10019895-A02,FFFFFF
10020394-A01,FFFFFF
10018896-A02,FFFFFF
10017015-A02,FFFFFF
10008476-A02,FFFFFF
10007887-A04,FFFFFF
3J235C,000000
3J231C,000000
767559C,000000
667557C,000000
767531C,000000
663635C,000000
766889C,000000
865156C,000000
763537C,000000
768146C,131936
368144C,131936
767338C,131936
767203C,131936
865158C,131936
766892C,999999
3J236C,FF0000
3J232C,FF0000
866933C,FF0000
767205C,FFB6C1
865160C,FFB6C1
3J256C,FFFFFF
3J253C,FFFFFF
767560C,FFFFFF
667558C,FFFFFF
767899C,FFFFFF
768147C,FFFFFF
368145C,FFFFFF
865157C,FFFFFF
763536C,FFFFFF
663634C,FFFFFF
