product_codes,color_code
150247C,1
564143C,1
167592C,1
167593C,1
167830C,1
167911C,1
167915C,1
167708C,1
167709C,1
563456C,1
564982C,1
166324C,1
165907C,1
166804C,1
567685C,1
168293C,1
168279C,1
167819C,1
167804C,1
537081C,1
167596C,2
167642C,2
166709C,2
167629C,2
167937C,2
168133C,2
167706C,2
167701C,2
567992C,2
567991C,2
167058C,2
166809C,2
166813C,2
567105C,2
166745C,2
166741C,2
166849C,2
166827C,2
567723C,3
167826C,3
167702C,3
167910C,3
167854C,3
167622C,3
167647C,3
167644C,3
167061C,3
167971C,3
167068C,3
166853C,3
166726C,3
166824C,3
150249C,4
167812C,4
167072C,4
164950C,4
164945C,4
M9697C,4
M9622C,4
167707C,5
167862C,5
166744C,5
163407C,6
166740C,6
167621C,7
567157C,7
166854C,7
164951C,7
164946C,7
166838C,8
167645C,9
167912C,9
167866C,9
167821C,9
167631C,9
567847C,9
567865C,9
167811C,9
167646C,9
167750C,9
167749C,9
167324C,9
567311C,9
567155C,9
166861C,9
167067C,9
166725C,9
165742C,9
162062C,9
162053C,9
167970C,10
167069C,10
167043C,10
166747C,10
167967C,10
M9696C,10
164949C,10
164944C,10
M9621C,10
167853C,11
167235C,11
167810C,11
167703C,11
167700C,11
567855C,11
167643C,11
162351C,11
167677C,12
167827C,12
166708C,12
167633C,12
167322C,12
567101C,12
566766C,12
167071C,12
167347C,12
167345C,12
164952C,12
164947C,12
167297C,13
162054C,13
162063C,13
166812C,13
166851C,13
166825C,13
167678C,14
564981C,14
567686C,14
167673C,14
167669C,14
167935C,14
167817C,14
167936C,14
167805C,14
537084C,14
167239C,14
164301C,14
563457C,14
560251C,14
167963C,14
164057C,14
566751C,14
166810C,14
167292C,14
167323C,14
567100C,14
166712C,14
167346C,14
167326C,14
166826C,14
167329C,14
565062C,14
164225C,14
161577C,14
162065C,14
162056C,14
M7652C,14
M7650C,14
10020856-A02,1
10019604-A02,1
10018841-A04,1
10018940-A01,1
10017759-A03,1
10019896-A01,1
10018568-A01,1
10019895-A01,1
10020394-A02,1
10018896-A01,1
10018968-A01,1
10018985-A01,1
10018468-A01,1
10018973-A01,1
10018446-A01,1
10017263-A01,1
10017262-A01,1
10017261-A01,1
10008476-A01,1
10017015-A05,1
10007887-A01,1
10008505-A01,1
10007784-A01,1
10008276-A01,1
10018448-A01,1
10018451-A01,1
10017895-A03,1
10008476-A19,2
10019896-A03,2
10017263-A09,2
10018972-A01,2
10018975-A01,2
10019604-A03,3
10018969-A01,4
10018334-A01,6
10007887-A03,7
10018446-A03,8
10018334-A02,8
10018901-A01,9
10018446-A02,9
10000998-A22,9
10001016-A22,9
10018457-A02,9
10018853-A02,14
10020856-A01,14
10020849-A01,14
10019604-A01,14
10018841-A03,14
10018940-A07,14
10017759-A04,14
10019896-A02,14
10018568-A02,14
10019895-A02,14
10020394-A01,14
10018896-A02,14
10017015-A02,14
10008476-A02,14
10007887-A04,14
3J235C,1
3J231C,1
767559C,1
667557C,1
767531C,1
663635C,1
766889C,1
865156C,1
763537C,1
768146C,4
368144C,4
767338C,4
767203C,4
865158C,4
766892C,7
3J236C,10
3J232C,10
866933C,10
767205C,12
865160C,12
3J256C,14
3J253C,14
767560C,14
667558C,14
767899C,14
768147C,14
368145C,14
865157C,14
763536C,14
663634C,14
