product_id,group_id
150249C,1
150247C,1
167596C,1
167592C,1
167593C,1
564981C,1
563456C,1
564982C,1
567686C,1
567685C,1
168293C,1
168279C,1
166709C,1
166708C,1
167235C,1
167633C,1
167631C,1
167629C,1
537081C,1
537084C,1
567847C,1
567865C,1
567855C,1
164301C,1
164300C,1
563457C,1
560251C,1
167643C,1
167646C,1
167647C,1
167644C,1
167966C,1
167963C,1
567157C,1
567311C,1
567155C,1
567309C,1
567992C,1
567991C,1
567101C,1
567100C,1
566766C,1
167347C,1
567143C,1
167067C,1
167068C,1
167069C,1
167043C,1
167044C,1
567105C,1
166745C,1
166744C,1
166740C,1
166741C,1
M9166C,1
167967C,1
M9696C,1
M5039C,1
M9697C,1
M7652C,1
M3310C,1
M9622C,1
M9621C,1
M7650C,1
M9160C,1
167677C,2
167678C,2
167645C,2
167642C,2
167827C,2
167826C,2
167702C,2
167910C,2
167911C,2
167915C,2
167912C,2
167708C,2
167709C,2
167673C,2
167669C,2
167819C,2
167821C,2
167813C,2
167810C,2
167811C,2
167812C,2
167862C,2
167701C,2
167703C,2
167700C,2
165024C,2
163407C,2
167750C,2
167749C,2
162054C,2
162063C,2
566751C,2
162350C,2
162351C,2
163343C,2
166713C,2
166712C,2
167071C,2
167072C,2
166861C,2
167345C,2
167346C,2
166854C,2
166853C,2
166855C,2
166749C,2
166747C,2
166703C,2
166702C,2
167106C,2
166851C,2
166849C,2
166850C,2
166825C,2
166824C,2
166827C,2
166826C,2
164952C,2
164947C,2
164950C,2
164945C,2
164951C,2
164946C,2
164949C,2
164944C,2
162065C,2
162056C,2
162062C,2
162053C,2
162058C,2
162050C,2
567723C,3
564143C,3
168133C,3
167324C,3
166838C,3
166839C,3
167326C,3
165742C,3
165741C,3
161577C,3
158369C,3
167830C,4
167622C,4
167621C,4
167805C,4
167804C,4
167707C,4
167706C,4
164057C,4
164056C,4
167322C,4
167323C,4
166725C,4
166726C,4
167329C,4
167327C,4
164225C,4
164224C,4
10018853-A02,5
10020856-A01,5
10020856-A02,5
10020849-A01,5
10019604-A02,5
10019604-A03,5
10019604-A01,5
10018841-A04,5
10018841-A03,5
10018940-A01,5
10018940-A07,5
10017759-A04,5
10017759-A03,5
10019896-A03,5
10019896-A02,5
10019896-A01,5
10018568-A02,5
10018568-A01,5
10019895-A02,5
10019895-A01,5
10007887-A03,5
10007887-A04,5
10007887-A01,5
10017895-A03,5
10018387-A06,6
10018387-A02,6
10018821-A04,6
10018821-A01,6
10008476-A19,7
10020394-A01,7
10020394-A02,7
10018901-A01,7
10018896-A02,7
10018896-A01,7
10018969-A01,7
10018968-A01,7
10017263-A09,7
10018985-A01,7
10018468-A01,7
10018446-A03,7
10018973-A01,7
10018972-A01,7
10018975-A01,7
10018446-A01,7
10017263-A01,7
10017262-A01,7
10017261-A01,7
10017015-A02,7
10008476-A02,7
10008476-A01,7
10017015-A05,7
10008505-A01,7
10007784-A01,7
10008276-A01,7
10018334-A02,7
10018334-A01,7
10018446-A02,7
10000998-A22,7
10001016-A22,7
10018448-A01,7
10018457-A02,7
10018451-A01,7
767576C,8
767559C,8
767560C,8
767899C,8
767531C,8
768147C,8
768146C,8
767338C,8
766892C,8
766889C,8
767205C,8
767203C,8
866933C,8
865158C,8
865160C,8
865157C,8
865156C,8
763537C,8
763536C,8
3J235C,9
3J256C,9
3J236C,9
3J232C,9
3J253C,9
3J231C,9
667557C,9
667558C,9
368145C,9
368144C,9
663635C,9
663634C,9
